x t u
-1.000000 0.000000 0.000109
-0.979798 0.000000 0.063556
-0.959596 0.000000 0.126649
-0.939394 0.000000 0.189207
-0.919192 0.000000 0.251013
-0.898990 0.000000 0.311847
-0.878788 0.000000 0.371492
-0.858586 0.000000 0.429709
-0.838384 0.000000 0.486229
-0.818182 0.000000 0.540775
-0.797980 0.000000 0.593085
-0.777778 0.000000 0.642941
-0.757576 0.000000 0.690166
-0.737374 0.000000 0.734606
-0.717172 0.000000 0.776111
-0.696970 0.000000 0.814521
-0.676768 0.000000 0.849676
-0.656566 0.000000 0.881416
-0.636364 0.000000 0.909599
-0.616162 0.000000 0.934106
-0.595960 0.000000 0.954844
-0.575758 0.000000 0.971740
-0.555556 0.000000 0.984738
-0.535354 0.000000 0.993791
-0.515152 0.000000 0.998859
-0.494949 0.000000 0.999911
-0.474747 0.000000 0.996927
-0.454545 0.000000 0.989908
-0.434343 0.000000 0.978875
-0.414141 0.000000 0.963878
-0.393939 0.000000 0.944993
-0.373737 0.000000 0.922315
-0.353535 0.000000 0.895950
-0.333333 0.000000 0.866006
-0.313131 0.000000 0.832591
-0.292929 0.000000 0.795813
-0.272727 0.000000 0.755795
-0.252525 0.000000 0.712696
-0.232323 0.000000 0.666711
-0.212121 0.000000 0.618070
-0.191919 0.000000 0.567003
-0.171717 0.000000 0.513707
-0.151515 0.000000 0.458355
-0.131313 0.000000 0.401102
-0.111111 0.000000 0.342016
-0.090909 0.000000 0.281491
-0.070707 0.000000 0.220125
-0.050505 0.000000 0.158129
-0.030303 0.000000 0.095282
-0.010101 0.000000 0.031686
0.010101 0.000000 -0.032038
0.030303 0.000000 -0.095200
0.050505 0.000000 -0.157821
0.070707 0.000000 -0.220050
0.090909 0.000000 -0.281619
0.111111 0.000000 -0.342088
0.131313 0.000000 -0.401111
0.151515 0.000000 -0.458432
0.171717 0.000000 -0.513824
0.191919 0.000000 -0.567080
0.212121 0.000000 -0.618028
0.232323 0.000000 -0.666526
0.252525 0.000000 -0.712433
0.272727 0.000000 -0.755576
0.292929 0.000000 -0.795745
0.313131 0.000000 -0.832713
0.333333 0.000000 -0.866267
0.353535 0.000000 -0.896242
0.373737 0.000000 -0.922526
0.393939 0.000000 -0.945050
0.414141 0.000000 -0.963769
0.434343 0.000000 -0.978643
0.454545 0.000000 -0.989631
0.474747 0.000000 -0.996688
0.494949 0.000000 -0.999774
0.515152 0.000000 -0.998858
0.535354 0.000000 -0.993919
0.555556 0.000000 -0.984955
0.575758 0.000000 -0.971987
0.595960 0.000000 -0.955060
0.616162 0.000000 -0.934247
0.636364 0.000000 -0.909651
0.656566 0.000000 -0.881394
0.676768 0.000000 -0.849617
0.696970 0.000000 -0.814468
0.717172 0.000000 -0.776088
0.737374 0.000000 -0.734612
0.757576 0.000000 -0.690172
0.777778 0.000000 -0.642908
0.797980 0.000000 -0.592991
0.818182 0.000000 -0.540634
0.838384 0.000000 -0.486091
0.858586 0.000000 -0.429632
0.878788 0.000000 -0.371519
0.898990 0.000000 -0.311979
0.919192 0.000000 -0.251204
0.939394 0.000000 -0.189379
0.959596 0.000000 -0.126711
0.979798 0.000000 -0.063458
1.000000 0.000000 0.000056
-1.000000 0.250000 0.000006
-0.979798 0.250000 0.035461
-0.959596 0.250000 0.070899
-0.939394 0.250000 0.106287
-0.919192 0.250000 0.141589
-0.898990 0.250000 0.176770
-0.878788 0.250000 0.211809
-0.858586 0.250000 0.246684
-0.838384 0.250000 0.281378
-0.818182 0.250000 0.315872
-0.797980 0.250000 0.350142
-0.777778 0.250000 0.384160
-0.757576 0.250000 0.417892
-0.737374 0.250000 0.451297
-0.717172 0.250000 0.484329
-0.696970 0.250000 0.516942
-0.676768 0.250000 0.549088
-0.656566 0.250000 0.580720
-0.636364 0.250000 0.611793
-0.616162 0.250000 0.642262
-0.595960 0.250000 0.672081
-0.575758 0.250000 0.701202
-0.555556 0.250000 0.729570
-0.535354 0.250000 0.757122
-0.515152 0.250000 0.783788
-0.494949 0.250000 0.809485
-0.474747 0.250000 0.834119
-0.454545 0.250000 0.857581
-0.434343 0.250000 0.879752
-0.414141 0.250000 0.900497
-0.393939 0.250000 0.919667
-0.373737 0.250000 0.937096
-0.353535 0.250000 0.952597
-0.333333 0.250000 0.965958
-0.313131 0.250000 0.976928
-0.292929 0.250000 0.985209
-0.272727 0.250000 0.990434
-0.252525 0.250000 0.992150
-0.232323 0.250000 0.989785
-0.212121 0.250000 0.982623
-0.191919 0.250000 0.969750
-0.171717 0.250000 0.950002
-0.151515 0.250000 0.921849
-0.131313 0.250000 0.883203
-0.111111 0.250000 0.831029
-0.090909 0.250000 0.760764
-0.070707 0.250000 0.665641
-0.050505 0.250000 0.535483
-0.030303 0.250000 0.357411
-0.010101 0.250000 0.127692
0.010101 0.250000 -0.127648
0.030303 0.250000 -0.357529
0.050505 0.250000 -0.535401
0.070707 0.250000 -0.665513
0.090909 0.250000 -0.760709
0.111111 0.250000 -0.831193
0.131313 0.250000 -0.883423
0.151515 0.250000 -0.921882
0.171717 0.250000 -0.949804
0.191919 0.250000 -0.969437
0.212121 0.250000 -0.982340
0.232323 0.250000 -0.989631
0.252525 0.250000 -0.992150
